project,language,filename,blank,comment,code
redis,JSON,.\clones\redis\src\commands\migrate.json,1,0,162
redis,Tcl/Tk,.\clones\redis\tests\integration\replication-buffer.tcl,25,42,162
redis,Tcl/Tk,.\clones\redis\tests\unit\slowlog.tcl,28,12,162
redis,C,.\clones\redis\deps\jemalloc\test\unit\size_classes.c,28,0,160
redis,C,.\clones\redis\tests\modules\test_lazyfree.c,30,7,159
redis,C,.\clones\redis\src\geohash_helper.c,26,79,158
redis,C,.\clones\redis\src\sha1.c,31,40,157
redis,Tcl/Tk,.\clones\redis\tests\unit\pubsubshard.tcl,38,19,156
redis,Tcl/Tk,.\clones\redis\tests\cluster\tests\27-endpoints.tcl,40,36,155
redis,C,.\clones\redis\src\resp_parser.c,18,56,154
redis,C/C++ Header,.\clones\redis\deps\hdr_histogram\hdr_histogram.h,56,299,153
redis,Bourne Shell,.\clones\redis\deps\jemalloc\build-aux\install-sh,51,46,153
redis,C,.\clones\redis\deps\lua\src\strbuf.c,52,46,153
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\msvc_compat\C99\stdint.h,40,55,152
redis,C,.\clones\redis\src\lazyfree.c,21,54,152
redis,C,.\clones\redis\deps\jemalloc\test\unit\log.c,32,11,150
redis,Tcl/Tk,.\clones\redis\tests\unit\moduleapi\cluster.tcl,40,15,150
redis,JSON,.\clones\redis\src\commands\xadd.json,0,0,148
redis,C,.\clones\redis\tests\modules\aclcheck.c,35,10,147
redis,Ruby,.\clones\redis\utils\generate-module-api-doc.rb,14,33,147
redis,C,.\clones\redis\deps\jemalloc\src\hook.c,19,30,146
redis,JSON,.\clones\redis\src\commands\georadius_ro.json,0,0,146
redis,Bourne Shell,.\clones\redis\utils\install_server.sh,36,110,145
redis,Tcl/Tk,.\clones\redis\tests\cluster\tests\10-manual-failover.tcl,39,9,144
redis,C,.\clones\redis\tests\modules\reply.c,46,3,144
redis,Tcl/Tk,.\clones\redis\tests\unit\moduleapi\blockedclient.tcl,33,9,144
redis,Tcl/Tk,.\clones\redis\tests\cluster\tests\04-resharding.tcl,21,33,142
redis,Tcl/Tk,.\clones\redis\tests\unit\type\incr.tcl,24,4,142
redis,C,.\clones\redis\deps\jemalloc\test\stress\microbench.c,23,1,141
redis,HTML,.\clones\redis\deps\lua\doc\luac.html,2,2,141
redis,Tcl/Tk,.\clones\redis\tests\support\aofmanifest.tcl,28,0,141
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\atomic_msvc.h,13,5,140
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\tsd_generic.h,19,4,140
redis,C,.\clones\redis\deps\lua\src\lua_bit.c,16,34,139
redis,C,.\clones\redis\tests\modules\commandfilter.c,36,6,139
redis,C,.\clones\redis\deps\lua\src\ldump.c,19,8,137
redis,C,.\clones\redis\deps\jemalloc\test\unit\retained.c,28,20,136
redis,C,.\clones\redis\deps\lua\src\lfunc.c,29,9,136
redis,JSON,.\clones\redis\src\commands\sort.json,0,0,136
redis,C/C++ Header,.\clones\redis\src\dict.h,28,48,136
redis,make,.\clones\redis\deps\lua\src\Makefile,36,12,135
redis,JSON,.\clones\redis\src\commands\georadiusbymember_ro.json,0,0,135
redis,C,.\clones\redis\src\lzf_d.c,19,37,135
redis,Tcl/Tk,.\clones\redis\tests\cluster\tests\05-slave-selection.tcl,31,13,135
redis,C,.\clones\redis\deps\jemalloc\src\nstime.c,36,1,133
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\jemalloc_internal_inlines_a.h,25,17,132
redis,JSON,.\clones\redis\src\commands\set.json,0,0,132
redis,Tcl/Tk,.\clones\redis\tests\unit\moduleapi\hooks.tcl,24,7,131
redis,CMake,.\clones\redis\deps\hiredis\CMakeLists.txt,34,1,130
redis,Tcl/Tk,.\clones\redis\tests\unit\introspection-2.tcl,26,7,130
redis,Tcl/Tk,.\clones\redis\tests\unit\latency-monitor.tcl,15,4,128
redis,JSON,.\clones\redis\src\commands\bitfield.json,0,0,127
redis,C/C++ Header,.\clones\redis\deps\hiredis\adapters\glib.h,26,4,126
redis,C,.\clones\redis\deps\jemalloc\test\integration\aligned_alloc.c,18,13,126
redis,Tcl/Tk,.\clones\redis\tests\unit\moduleapi\stream.tcl,12,21,126
redis,C,.\clones\redis\deps\jemalloc\test\unit\pack.c,23,19,124
redis,JSON,.\clones\redis\src\commands\zadd.json,0,0,124
redis,C,.\clones\redis\src\sha256.c,18,21,124
redis,Tcl/Tk,.\clones\redis\tests\integration\psync2-master-restart.tcl,28,23,124
redis,Tcl/Tk,.\clones\redis\tests\integration\redis-benchmark.tcl,21,17,124
redis,C/C++ Header,.\clones\redis\deps\hiredis\adapters\libev.h,23,33,123
redis,C,.\clones\redis\deps\jemalloc\test\unit\binshard.c,24,7,123
redis,C,.\clones\redis\deps\jemalloc\test\unit\hash.c,17,33,123
redis,C,.\clones\redis\src\pqsort.c,22,40,123
redis,C,.\clones\redis\deps\jemalloc\test\unit\junk.c,19,0,122
redis,C,.\clones\redis\src\ae_kqueue.c,27,41,122
redis,C/C++ Header,.\clones\redis\src\quicklist.h,21,68,122
redis,C,.\clones\redis\deps\jemalloc\test\unit\safety_check.c,25,10,121
redis,C,.\clones\redis\src\slowlog.c,16,68,121
redis,C,.\clones\redis\utils\hashtable\rehashing.c,22,0,121
redis,YAML,.\clones\redis\deps\hiredis\.travis.yml,10,2,119
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\atomic_gcc_atomic.h,9,1,119
redis,C/C++ Header,.\clones\redis\deps\jemalloc\include\jemalloc\internal\tsd_win.h,16,4,119
redis,C,.\clones\redis\deps\jemalloc\test\unit\prof_log.c,22,7,119
redis,C/C++ Header,.\clones\redis\src\connection.h,33,92,119
redis,JSON,.\clones\redis\src\commands\client-kill.json,0,0,117
redis,C/C++ Header,.\clones\redis\deps\hiredis\adapters\libevent.h,26,33,116
redis,JSON,.\clones\redis\src\commands\sort_ro.json,0,0,115
redis,Tcl/Tk,.\clones\redis\tests\cluster\tests\25-pubsubshard-slot-migration.tcl,47,9,115
redis,C,.\clones\redis\deps\jemalloc\test\unit\extent_quantize.c,19,8,114
redis,JSON,.\clones\redis\src\commands\zrangestore.json,0,0,114
redis,C,.\clones\redis\src\modules\helloblock.c,29,76,114
redis,Tcl/Tk,.\clones\redis\tests\unit\tls.tcl,37,7,114
redis,C/C++ Header,.\clones\redis\deps\hdr_histogram\hdr_atomic.h,28,5,113
